Search Name,Band Name,URL,Genre,Themes,Country,Location,Status,Formed
Anfauglith,Anfauglith,https://www.metal-archives.com/bands/Anfauglith/3540288961,Black Metal,"Occultism, Darkness, Death",Austria,Vienna,N/A,2008
Anfauglith,Anfauglith,https://www.metal-archives.com/bands/Anfauglith/3540505024,Pagan/Black Metal,N/A,Brazil,"Olinda, Pernambuco",N/A,2010
Angaina,No match found,,,,,,,
Angaino,No match found,,,,,,,
Angainor,Angainor,https://www.metal-archives.com/bands/Angainor/3540535005,Death Metal,N/A,Mexico,"Cuernavaca, Morelos",N/A,N/A
Angainor,Angainor,https://www.metal-archives.com/bands/Angainor/3540519872,Black Metal,N/A,Poland,N/A,N/A,2022
Angainu,No match found,,,,,,,
Angal-limpë,No match found,,,,,,,
Angalailin,No match found,,,,,,,
Angamaite,No match found,,,,,,,
Angamandi,No match found,,,,,,,
Angamando,No match found,,,,,,,
Angarato,No match found,,,,,,,
Angband,Angband,https://www.metal-archives.com/bands/Angband/7623,Thrash/Black Metal,N/A,Chile,Santiago,N/A,1993
Angband,Angband,https://www.metal-archives.com/bands/Angband/84709,Melodic Death Metal,N/A,Germany,"Warburg, North Rhine-Westphalia",N/A,2003
Angband,Angband,https://www.metal-archives.com/bands/Angband/3540261874,Power/Progressive Metal,"Human mind/thoughts, Intellectual",Iran,"Tehran, Tehran",N/A,2004
Angband,Angband,https://www.metal-archives.com/bands/Angband/3540551053,Black Metal,N/A,Russia,N/A,N/A,N/A
Angbandqjenya,No match found,,,,,,,
Angbands Schmieden,No match found,,,,,,,
Angbor,No match found,,,,,,,
Angelica Baggins,No match found,,,,,,,
Angelimir,No match found,,,,,,,
Angerthas,No match found,,,,,,,
Angerthas Daeron,No match found,,,,,,,
Angerthas Erebor,No match found,,,,,,,
Anghabar,No match found,,,,,,,
Anglachel,Anglachel,https://www.metal-archives.com/bands/Anglachel/28908,Heavy Metal,"Life, Battles",Brazil,"Jaguariúna, São Paulo",N/A,2001
Anglachel,Anglachel,https://www.metal-archives.com/bands/Anglachel/3540426415,Black Metal,N/A,United States,"Bakersfield, California",N/A,N/A
Anglor,No match found,,,,,,,
Anglosaxon,No match found,,,,,,,
Angmar,Angmar,https://www.metal-archives.com/bands/Angmar/120152,Black Metal,"Darkness, Destruction",Czechia,"Hradec Králové, Hradec Králové Region",N/A,2007
Angmar,Angmar,https://www.metal-archives.com/bands/Angmar/9501,Black Metal,"Anti-Christianity, Satanism",Finland,"Kajaani, Kainuu",N/A,1994
Angmar,Angmar,https://www.metal-archives.com/bands/Angmar/36310,Black Metal,"Emotions, Human deliquescence, Nature supremacy",France,"Caen, Normandy",N/A,2001
Angmar,Angmar,https://www.metal-archives.com/bands/Angmar/125726,Black Metal/Ambient,"Nature, National, Philosophy, Feelings",Slovakia,"Banská Bystrica, Banská Bystrica",N/A,2007
Angmar,Angmar,https://www.metal-archives.com/bands/Angmar/3540347930,Black/Death Metal,"Satan, Conquest",United States,Northern New Jersey,N/A,2009
Angmar War,No match found,,,,,,,
Ango,No match found,,,,,,,
Angol,No match found,,,,,,,
Angolodh,No match found,,,,,,,
Angomaite,No match found,,,,,,,
Angor,Angor,https://www.metal-archives.com/bands/Angor/3540417431,Blackened Doom Metal,N/A,Austria,Vienna,N/A,2005
Angor,Angor,https://www.metal-archives.com/bands/Angor/47902,Heavy/Thrash Metal (early); Death Metal (later),N/A,Chile,"Santiago (early); Boston, Massachusetts, United States (later)",N/A,1995
Angor,Angor,https://www.metal-archives.com/bands/Angor/28032,Atmospheric Doom/Death Metal,N/A,Poland,"Gdańsk, Pomerania",N/A,1996
Angren,No match found,,,,,,,
Angrenost,Angrenost,https://www.metal-archives.com/bands/Angrenost/3540441120,Black Metal,N/A,Italy,"Ossi (Sassari), Sardinia",N/A,2008
Angrenost,Angrenost,https://www.metal-archives.com/bands/Angrenost/76186,Melodic Black Metal,"Dark, Loneliness, Yearning",Poland,"Bytów, Pomerania / Kościerzyna, Pomerania",N/A,1997
Angrenost,Angrenost,https://www.metal-archives.com/bands/Angrenost/3989,Black Metal,"Darkness, Esotericism, Evil in Man",Portugal,Viana do Castelo District,N/A,1995
Angrim,No match found,,,,,,,
Angrist,Angrist,https://www.metal-archives.com/bands/Angrist/35625,Death Metal,N/A,Greece,"Athens, Attica",N/A,N/A
Angrist,Angrist,https://www.metal-archives.com/bands/Angrist/3540419459,Black Metal,N/A,Italy,"Ossi (Sassari), Sardinia",N/A,2016
Angrist,Angrist,https://www.metal-archives.com/bands/Angrist/35626,Classical/Progressive Heavy Metal,N/A,Spain,"L'Hospitalet de Llobregat, Catalonia",N/A,2000
Angrod,No match found,,,,,,,
Angruin,No match found,,,,,,,
Anguirel,No match found,,,,,,,
Anguloke,No match found,,,,,,,
Angulócë,No match found,,,,,,,
Angus McBride,No match found,,,,,,,
Angus McIntosh,No match found,,,,,,,
Angwi,No match found,,,,,,,
Anim,No match found,,,,,,,
Animalic,No match found,,,,,,,
Anka,No match found,,,,,,,
Anke Eissmann,No match found,,,,,,,
Annael,No match found,,,,,,,
Annatar,Annatar,https://www.metal-archives.com/bands/Annatar/12338,Symphonic Gothic Metal,Fantasy,Netherlands,"Delft, South Holland",N/A,1999
Annerchin,No match found,,,,,,,
Annminas,No match found,,,,,,,
Annon,No match found,,,,,,,
Annon-In-Gelydh,No match found,,,,,,,
Annonin,No match found,,,,,,,
Annoningelydh,No match found,,,,,,,
Annuminas,No match found,,,,,,,
Annun,No match found,,,,,,,
Annunaid,No match found,,,,,,,
Annyn,No match found,,,,,,,
Annúminas-stone,No match found,,,,,,,
Anor,No match found,,,,,,,
Anor-stone,No match found,,,,,,,
Anorien,No match found,,,,,,,
Anta,No match found,,,,,,,
Antaro,Antaro,https://www.metal-archives.com/bands/Antaro/6503,Melodic Black Metal,"Pain, Demons, Anti-Christianity",Panama,"David, Chiriquí",N/A,1996
Anto,No match found,,,,,,,
Antti Autio,No match found,,,,,,,
Anurien,No match found,,,,,,,
Anwa,No match found,,,,,,,
Anwar,Anwar,https://www.metal-archives.com/bands/Anwar/3540352858,Black Metal,"Depression, Paganism",Germany,"Lörrach, Baden-Württemberg",N/A,2012
Anwar,Anwar,https://www.metal-archives.com/bands/Anwar/114823,Heavy Metal,N/A,Netherlands,"Someren, North Brabant",N/A,N/A
Anwar,Anwar,https://www.metal-archives.com/bands/Anwar/3540445511,Sludge/Doom Metal,N/A,United States,"Denton, Texas",N/A,N/A
Anárioni,No match found,,,,,,,
Aníron,No match found,,,,,,,
Apanonar,No match found,,,,,,,
Apes,Apes,https://www.metal-archives.com/bands/Apes/3540495211,Grindcore (early); Black Metal/Grindcore (later),N/A,Canada,"Quebec City, Quebec",N/A,2012
Aphanuzir,No match found,,,,,,,
Apolausticks,No match found,,,,,,,
Appledore,No match found,,,,,,,
Aqualonde,No match found,,,,,,,
Ar-Abattarik,No match found,,,,,,,
Ar-Adunakhor,No match found,,,,,,,
Ar-Aphanuzir,No match found,,,,,,,
Ar-Balkumagân,No match found,,,,,,,
Ar-Belzagar,No match found,,,,,,,
Ar-Feiniel,No match found,,,,,,,
Ar-Gimilzor,No match found,,,,,,,
Ar-Inziladun,No match found,,,,,,,
Ar-Pharazon,No match found,,,,,,,
Ar-Sakalthor,No match found,,,,,,,
Ar-Zimraphel,No match found,,,,,,,
Ar-Zimrathon,No match found,,,,,,,
Arachon,No match found,,,,,,,
Aracorno,No match found,,,,,,,
Aracáno,No match found,,,,,,,
Aradan,No match found,,,,,,,
Arador,No match found,,,,,,,
Arafinwë,No match found,,,,,,,
Araglas,No match found,,,,,,,
Aragom,No match found,,,,,,,
Aragorn,No match found,,,,,,,
Aragorn Elessar,No match found,,,,,,,
Aragost,No match found,,,,,,,
Arahad,No match found,,,,,,,
Arahael,No match found,,,,,,,
Arakano,No match found,,,,,,,
Arakorno,No match found,,,,,,,
Araman,No match found,,,,,,,
Aramund,No match found,,,,,,,
Aran,Aran,https://www.metal-archives.com/bands/Aran/3540467314,Atmospheric Black Metal,N/A,Finland,"Oulu, Pohjois-Pohjanmaa",N/A,2018
Aran Chithlum,No match found,,,,,,,
Aran Einior,No match found,,,,,,,
Aran Endór,No match found,,,,,,,
Aran Greyfeather,No match found,,,,,,,
Aranarth,Aranarth,https://www.metal-archives.com/bands/Aranarth/3540433888,Black/Death Metal,N/A,Canada,"Montréal, Quebec",N/A,N/A
Arandor,Arandor,https://www.metal-archives.com/bands/Arandor/73441,Speed Metal,Fantasy,Germany,"Arzbach, Rhineland-Palatinate",N/A,1998
Arandur,No match found,,,,,,,
Aranel,No match found,,,,,,,
Aranhir,No match found,,,,,,,
Arannor,No match found,,,,,,,
Aranruth,No match found,,,,,,,
Arantar,No match found,,,,,,,
Aranuir,No match found,,,,,,,
Aranwe,No match found,,,,,,,
Aranwen,No match found,,,,,,,
Aranwion,No match found,,,,,,,
Araphant,No match found,,,,,,,
Araphor,No match found,,,,,,,
Arassuil,No match found,,,,,,,
Arata,No match found,,,,,,,
Aratan,No match found,,,,,,,
Aratar,No match found,,,,,,,
Arathom,No match found,,,,,,,
Arathorn,Arathorn,https://www.metal-archives.com/bands/Arathorn/126765,Thrash Metal,"Fantasy, Fun",Germany,"Darmstadt, Hesse",N/A,1994
Arathorn,Arathorn,https://www.metal-archives.com/bands/Arathorn/3060,Atmospheric Black/Folk Metal,"Medieval, Tolkien, Norse Mythology, Nibelung",Germany,Berlin,N/A,1995
Araval,No match found,,,,,,,
Aravir,No match found,,,,,,,
Aravorn,No match found,,,,,,,
Araw,No match found,,,,,,,
Arca,No match found,,,,,,,
Arcastar,No match found,,,,,,,
Archet,No match found,,,,,,,
Arciryas,No match found,,,,,,,
Arctic Quenya,No match found,,,,,,,
Arctick,No match found,,,,,,,
Ard-galen,No match found,,,,,,,
ArdaCraft,No match found,,,,,,,
Ardalambion,No match found,,,,,,,
Ardaliskea,No match found,,,,,,,
Ardamin,No match found,,,,,,,
Ardamir,No match found,,,,,,,
Ardgalen,No match found,,,,,,,
Are Nuquerna,No match found,,,,,,,
Aredhel,No match found,,,,,,,
Aredhel Ar-Feiniel,No match found,,,,,,,
Areti Hatziathanasiou-Kollia,No match found,,,,,,,
Arfanyaras,No match found,,,,,,,
Arfanyarassë,No match found,,,,,,,
Arfeiniel,No match found,,,,,,,
Argeleb,No match found,,,,,,,
Argi,No match found,,,,,,,
Argimiizor,No match found,,,,,,,
Argimilzor,No match found,,,,,,,
Argirion,No match found,,,,,,,
Argoldo,No match found,,,,,,,
Argon,Argon,https://www.metal-archives.com/bands/Argon/53122,Melodic/Progressive Heavy Metal,N/A,Finland,"Jyväskylä, Keski-Suomi",N/A,1998
